beer,brewery,style,status
Moosehead Lager,Moosehead Breweries,Pale Lager - International / Premium,regular
Alexander Keith's India Pale Ale,Alexander Keith's Brewery / Oland Brewery (Labatt - AB InBev),Blonde Ale / Golden Ale,regular
Garrison Imperial I.P.A.,Garrison Brewing Company,IPA,regular
Moosehead Pale Ale,Moosehead Breweries,Blonde Ale / Golden Ale,regular
Propeller ESB,Propeller Brewing Co.,Bitter - Premium / Strong / Extra Special (ESB),regular
Propeller IPA,Propeller Brewing Co.,IPA,special seasonal
Propeller Revolution Russian Imperial Stout,Propeller Brewing Co.,Stout - Imperial,winter seasonal
Propeller London-Style Porter,Propeller Brewing Co.,Porter,regular
Alexander Keith's Red Amber Ale,Alexander Keith's Brewery / Oland Brewery (Labatt - AB InBev),Red Ale / International Amber Ale,regular
Gahan 1772,Gahan House / Gahan Beer (Murphy Hospitality Group),IPA,regular
Garrison Ol' Fog Burner,Garrison Brewing Company,Barley Wine / Wheat Wine / Rye Wine,spring seasonal
Alexander Keith's Cascade Hop Ale,Alexander Keith's Brewery / Oland Brewery (Labatt - AB InBev),Pale Ale - American (APA),regular
Gahan Sydney Street,Gahan House / Gahan Beer (Murphy Hospitality Group),Stout,regular
Picaroons Yippee IPA,Picaroons Brewing Company,IPA,autumn seasonal
Moosehead Light,Moosehead Breweries,Pale Lager - International / Premium,regular
Garrison Grand Baltic Porter,Garrison Brewing Company,Porter - Baltic,winter seasonal
Gahan Iron Bridge Brown Ale,Gahan House / Gahan Beer (Murphy Hospitality Group),Brown Ale,regular
Gahan Blueberry Ale,Gahan House / Gahan Beer (Murphy Hospitality Group),Flavored - Fruit,series seasonal
Alexander Keith's Hallertauer Hop Ale,Alexander Keith's Brewery / Oland Brewery (Labatt - AB InBev),Pale Ale - American (APA),regular
Garrison Nut Brown,Garrison Brewing Company,Brown Ale,regular
Alexander Keith's Galaxy Hop Ale,Alexander Keith's Brewery / Oland Brewery (Labatt - AB InBev),Pale Ale - American (APA),regular
Gahan Sir John A's,Gahan House / Gahan Beer (Murphy Hospitality Group),Wheat Ale,series seasonal
Garrison Hopyard Pale,Garrison Brewing Company,Pale Ale - American (APA),regular
Gahan Island Red Amber,Gahan House / Gahan Beer (Murphy Hospitality Group),Red Ale / International Amber Ale,regular
Trailway Hu Jon Hops,Trailway Brewing Company,IPA - Hazy (NEIPA),regular
Moosehead [ Radler ],Moosehead Breweries,Radler / Shandy,regular
Prince Edward Island Beach Chair Lager,Prince Edward Island Brewing Company (Murphy Hospitality Group),Pale Lager - American,regular
Moosehead Cracked Canoe,Moosehead Breweries,Pale Lager - International / Premium,regular
Garrison Irish Red,Garrison Brewing Company,Red Ale - Irish,regular
2 Crows Pollyanna,2 Crows Brewing,IPA - Hazy (NEIPA),regular
Pump House Blueberry Ale,Pump House Brewery,Flavored - Fruit,regular
Alexander Keith's Nova Scotia Style Brown Ale,Alexander Keith's Brewery / Oland Brewery (Labatt - AB InBev),Brown Ale,regular
Picaroons Timberhog Stout,Picaroons Brewing Company,Stout - Dry / Irish,regular
James Ready  5.5,Moosehead Breweries,Pale Lager - American,regular
Propeller Pale Ale,Propeller Brewing Co.,Pale Ale - English,regular
Trailway Luster,Trailway Brewing Company,ISA - Session IPA,regular
Moosehead Boundary Ale,Moosehead Breweries,Red Ale / International Amber Ale,regular
Clancys Amber,Moosehead Breweries,Red Ale / International Amber Ale,regular
Picaroons Best Bitter,Picaroons Brewing Company,Bitter - Premium / Strong / Extra Special (ESB),regular
Garrison Tall Ship,Garrison Brewing Company,Red Ale / International Amber Ale,regular
Garrison Spruce Beer,Garrison Brewing Company,Flavored - Other,special seasonal
Alexander Keith's Nova Scotia Style Pale Ale,Alexander Keith's Brewery / Oland Brewery (Labatt - AB InBev),Pale Ale - English,regular
Garrison Juicy! Double IPA,Garrison Brewing Company,IIPA DIPA - Imperial / Double IPA,regular
Alexander Keith's Premium White,Alexander Keith's Brewery / Oland Brewery (Labatt - AB InBev),Witbier / Belgian White Ale,regular
Boxing Rock The Vicar's Cross Double IPA,Boxing Rock Brewing Company,IIPA DIPA - Imperial / Double IPA,regular
Trailway Ooz,Trailway Brewing Company,IIPA DIPA - Imperial / Double IPA,regular
Moosehead Light Lime,Moosehead Breweries,Flavored - Fruit,summer seasonal
Garrison Pucker Up!,Garrison Brewing Company,Sour / Wild Beer - Flavored,special seasonal
Pump House Crafty Radler - Grapefruit & Tangerine,Pump House Brewery,Radler / Shandy,summer seasonal
Propeller DIPA Double IPA,Propeller Brewing Co.,IIPA DIPA - Imperial / Double IPA,spring seasonal
Quidi Vidi 1892 Traditional Ale,Quidi Vidi Brewing Company,Red Ale / International Amber Ale,regular
Trailway Dunder,Trailway Brewing Company,Pale Ale - American (APA),regular
Gahan Vic Park,Gahan House / Gahan Beer (Murphy Hospitality Group),Pale Ale - American (APA),special seasonal
Big Spruce Cereal Killer Oatmeal Stout,Big Spruce Brewing,Stout - Oatmeal,regular
Alpine Lager,Moosehead Breweries,Pale Lager - American,regular
Big Spruce Tims Dirty,Big Spruce Brewing,IPA,regular
Breton Black Angus,Breton Brewing Company,IPA,regular
Stillwell 2,Stillwell Brewing Company,Saison / Farmhouse / Grisette,special seasonal
Big Spruce Ra Ra Rasputin,Big Spruce Brewing,Stout - Imperial,special seasonal
Pump House SOB Special Old Bitter,Pump House Brewery,Bitter - Premium / Strong / Extra Special (ESB),regular
Pump House Premium Lager,Pump House Brewery,Pale Lager - American,regular
Picaroons Irish Red,Picaroons Brewing Company,Red Ale - Irish,regular
Pump House Scotch Ale,Pump House Brewery,Scottish Ale,regular
Moosehead Dry Ice,Moosehead Breweries,Pale Lager - American,regular
Upstreet Commons,Upstreet Craft Brewing,Pilsener - Bohemian / Czech,regular
Propeller Pilsener,Propeller Brewing Co.,Pilsener - Bohemian / Czech,regular
Pump House Firechiefs Red Ale,Pump House Brewery,Red Ale / International Amber Ale,regular
Garrison Winter Warmer,Garrison Brewing Company,Strong Ale - English,winter seasonal
Prince Edward Island After Hours Raspberry Sour,Prince Edward Island Brewing Company (Murphy Hospitality Group),Sour / Wild Beer - Flavored,regular
Upstreet White Noize,Upstreet Craft Brewing,IPA - White,winter seasonal
Upstreet Do Good-er,Upstreet Craft Brewing,Pale Ale - American (APA),regular
Garrison Dirty Ol' Town,Garrison Brewing Company,IPA - Black / Brown / Cascadian Dark,regular
Petit Sault Soeur Catherine ,Les Brasseurs du Petit Sault,IPA,regular
YellowBelly SJS St. Johns Stout,YellowBelly Brewery & Public House,Stout,regular
Garrison Grand Baltic Porter Rum Barrel Aged,Garrison Brewing Company,Porter - Baltic,special seasonal
Picaroons Dooryard,Picaroons Brewing Company,Wheat Ale,summer seasonal
Quidi Vidi Iceberg,Quidi Vidi Brewing Company,Pale Lager - American,regular
Garrison Hoppy Boy IPA,Garrison Brewing Company,IPA,regular
Garrison Sugar Moon Maple Ale,Garrison Brewing Company,Red Ale / International Amber Ale,spring seasonal
Garrison Razzberry Wheat,Garrison Brewing Company,Flavored - Fruit,regular
Moosehead Grapefruit Radler,Moosehead Breweries,Radler / Shandy,regular
Grimross Cheval D'Or,Grimross Brewing Company,Saison / Farmhouse / Grisette,regular
Tatamagouche Deception Bay,Tatamagouche Brewing Company,IPA,special seasonal
Picaroons Feels Good Imperial Pilsener,Picaroons Brewing Company,Pilsener - Imperial,regular
Garrison Oktoberfest Brau,Garrison Brewing Company,Märzen / Oktoberfest Bier,autumn seasonal
Big Spruce Kitchen Party Pale Ale,Big Spruce Brewing,Pale Ale - American (APA),regular
Gahan Premier George Coles,Gahan House / Gahan Beer (Murphy Hospitality Group),Cream Ale,regular
Moose Light Ginger,Moosehead Breweries,Flavored - Other,summer seasonal
Moosehead Premium Dry,Moosehead Breweries,Pale Lager - American,regular
Oland Export Ale,Alexander Keith's Brewery / Oland Brewery (Labatt - AB InBev),Blonde Ale / Golden Ale,regular
2 Crows Jamboree,2 Crows Brewing,Sour / Wild Beer - Flavored,regular
Stillwell Gosh (Blend #2 - White Wine Barrel),Stillwell Brewing Company,Saison / Farmhouse / Grisette,regular
Nine Locks IPA,Nine Locks Brewing Company,IPA,regular
Quidi Vidi Day Boil,Quidi Vidi Brewing Company,ISA - Session IPA,regular
Trailway Hu Jon Hops DDH,Trailway Brewing Company,IPA - Hazy (NEIPA),regular
Trailway Rype,Trailway Brewing Company,Pale Ale - Rye,regular
Alexander Keith's Nova Scotia Style Lager,Alexander Keith's Brewery / Oland Brewery (Labatt - AB InBev),Pale Lager - American,regular
Big Spruce Bitter Get'er India,Big Spruce Brewing,IPA - Black / Brown / Cascadian Dark,regular
2 Crows I Love You,2 Crows Brewing,Saison / Farmhouse / Grisette,regular
2 Crows / Niche Cool Kid,2 Crows Brewing,Sour / Wild Beer - Flavored,regular
2 Crows Fantacity,2 Crows Brewing,Witbier / Belgian White Ale,regular
Alexander Keith's Dark Ale,Alexander Keith's Brewery / Oland Brewery (Labatt - AB InBev),Brown Ale,regular
Trailway Ellipse,Trailway Brewing Company,IPA,regular
Boxing Rock Crafty Jack English Ale,Boxing Rock Brewing Company,Brown Ale,special seasonal
Stillwell Saazbier,Stillwell Brewing Company,Saison / Farmhouse / Grisette,special seasonal
Upstreet Rhuby Social,Upstreet Craft Brewing,Flavored - Fruit,regular
Garrison Martello Stout,Garrison Brewing Company,Stout,regular
Alexander Keith's Saphir Hop Ale,Alexander Keith's Brewery / Oland Brewery (Labatt - AB InBev),Pale Ale - American (APA),regular
Breton Sons of Hector,Breton Brewing Company,Brown Ale,regular
Upstreet Eighty Bob,Upstreet Craft Brewing,Scottish Ale,regular
Upstreet Go Devil,Upstreet Craft Brewing,IPA,regular
Pump House IPA,Pump House Brewery,IPA,summer seasonal
Picaroons Man's Best Friend,Picaroons Brewing Company,Porter,regular
Moosehead Small Batch London Stout,Moosehead Breweries,Stout,regular
Hell Bay English Ale,Hell Bay Brewing Company,Pale Ale - English,regular
Alexander Keith's Celeia Hop Ale,Alexander Keith's Brewery / Oland Brewery (Labatt - AB InBev),Pale Ale - American (APA),regular
Stillwell Sport Blend 2,Stillwell Brewing Company,Saison / Farmhouse / Grisette,regular
Picaroons Cease and Desist,Picaroons Brewing Company,Weissbier - Dunkelweizen,autumn seasonal
Simeon Jones River Valley Amber Ale,Picaroons Brewing Company,Red Ale / International Amber Ale,regular
Petit Sault Tante Blanche,Les Brasseurs du Petit Sault,Witbier / Belgian White Ale,regular
Pump House Muddy River Stout,Pump House Brewery,Stout,regular
Gahan Longshore ,Gahan House / Gahan Beer (Murphy Hospitality Group),Pale Ale,regular
2 Crows Tiny Dancer,2 Crows Brewing,Belgian Ale - Pale / Golden / Single,regular
Gahan Beacon Blonde Ale,Gahan House / Gahan Beer (Murphy Hospitality Group),Blonde Ale / Golden Ale,regular
Trailway Beyond Reality,Trailway Brewing Company,Flavored - Fruit,regular
Unfiltered Twelve Years to Zion,Unfiltered Brewing,IIPA DIPA - Imperial / Double IPA,regular
Prince Edward Island Rogue's Roost IPA,Prince Edward Island Brewing Company (Murphy Hospitality Group),IPA - English,regular
Maybee Elevensies Espresso Stout,Maybee Brewing,Stout,regular
Unfiltered Exile on North Street,Unfiltered Brewing,IPA,regular
Moth Lane The Answer,Moth Lane Brewing Co.,IIPA DIPA - Imperial / Double IPA,regular
Stillwell Auld,Stillwell Brewing Company,Old Ale,winter seasonal
Spindrift Riptide,Spindrift Brewing Company,Pale Lager - Hoppy / India (IPL),regular
Big Spruce Tag! You're It!,Big Spruce Brewing,IPA,regular
Picaroons Blonde,Picaroons Brewing Company,Blonde Ale / Golden Ale,regular
North Midnight ,North Brewing Co. (Canada),Belgian Ale - Strong Pale,regular
Boxing Rock U-889 Russian Imperial Stout,Boxing Rock Brewing Company,Stout - Imperial Flavored / Pastry,winter seasonal
Tatamagouche Jitney,Tatamagouche Brewing Company,Sour / Wild Beer,regular
Petit Sault Louis XVII,Les Brasseurs du Petit Sault,Red Ale / International Amber Ale,regular
Picaroons 104th Regiment Ale,Picaroons Brewing Company,Brown Ale,special seasonal
Propeller Honey Wheat,Propeller Brewing Co.,Wheat Ale,regular
Garrison Ol' Fog Burner Barrel Aged,Garrison Brewing Company,Barley Wine / Wheat Wine / Rye Wine,special seasonal
Propeller Hefeweizen,Propeller Brewing Co.,Weissbier - Hefeweizen,regular
North / Benjamin Bridge - Saison de Pinot,North Brewing Co. (Canada),Saison / Farmhouse / Grisette,regular
Stillwell Campaign ,Stillwell Brewing Company,Saison / Farmhouse / Grisette,regular
Landwash Fitz’s Cold Lager,Landwash Brewery,Pale Lager - International / Premium,regular
Petit Sault La Kedgwick ,Les Brasseurs du Petit Sault,Pale Lager - International / Premium,regular
Nine Locks ESB,Nine Locks Brewing Company,Bitter - Ordinary / Best,regular
Trailway Black Hops,Trailway Brewing Company,IPA - Black / Brown / Cascadian Dark,regular
Petit Sault Bob LeBoeuf,Les Brasseurs du Petit Sault,Belgian Ale - Pale / Golden / Single,regular
Tatamagouche Dreadnot Black IPA: Rum Barrel Aged,Tatamagouche Brewing Company,IPA - Black / Brown / Cascadian Dark,series seasonal
Quidi Vidi Three Seasons,Quidi Vidi Brewing Company,Saison / Farmhouse / Grisette,regular
Oland Schooner,Alexander Keith's Brewery / Oland Brewery (Labatt - AB InBev),Pale Lager - American,regular
Nine Locks Watermelon Blonde,Nine Locks Brewing Company,Blonde Ale / Golden Ale,summer seasonal
Trailway Seeing Enigma,Trailway Brewing Company,IPA,regular
Bad Apple Black & Tackle,Bad Apple Brewhouse [BAB],Stout - Imperial,regular
Roof Hound Big Stink IPA,Roof Hound Brewing Co.,IPA,regular
Tatamagouche Hippie Dippie Pale Ale,Tatamagouche Brewing Company,Pale Ale - American (APA),regular
North Headline Milk Stout,North Brewing Co. (Canada),Stout - Milk / Sweet,regular
Trailway Good Weather,Trailway Brewing Company,IPA - Hazy (NEIPA),regular
Quidi Vidi Aloha ,Quidi Vidi Brewing Company,IPA - Sour / Wild,regular
Copper Bottom Broadside APA,Copper Bottom Brewing Company,Pale Ale - American (APA),regular
Moosehead Light Blackberry,Moosehead Breweries,Flavored - Fruit,regular
Upstreet Third Place,Upstreet Craft Brewing,IIPA DIPA - Imperial / Double IPA,regular
Copper Bottom Parkman Ave. DIPA,Copper Bottom Brewing Company,IIPA DIPA - Imperial / Double IPA,regular
Propeller Galaxy IPA,Propeller Brewing Co.,IPA - Hazy (NEIPA),regular
Trailway Sensible Nonsense,Trailway Brewing Company,IIPA DIPA - Imperial / Double IPA,regular
Nine Locks Fathom Double IPA,Nine Locks Brewing Company,IIPA DIPA - Imperial / Double IPA,regular
2 Crows Grapes! ,2 Crows Brewing,Sour Flemish Ale - Flanders Red / Oud Bruin,regular
Quidi Vidi Sofa Sours: Passion Fruit,Quidi Vidi Brewing Company,Sour / Wild Beer - Flavored,regular
2 Crows Panhandle Slim,2 Crows Brewing,Saison / Farmhouse / Grisette,regular
Bootleg Brew Doctor Nilsson’s Cure All,Bootleg Brew Co.,Berliner Weisse - Flavored / Catharina Sour,regular
Bootleg Brew Red Beer,Bootleg Brew Co.,Red Ale - Irish,regular
Bootleg Brew Nitro Porter,Bootleg Brew Co.,Porter - Flavored,regular
2 Crows Letna,2 Crows Brewing,Pilsener - Bohemian / Czech,regular
Garrison Mango & Dragon Fruit Sour,Garrison Brewing Company,Sour / Wild Beer - Flavored,regular
Evermoore Cast Away,Evermoore Brewing Company,IPA,regular
2 Crows Roble,2 Crows Brewing,Witbier / Belgian White Ale,regular
2 Crows Paradise,2 Crows Brewing,Sour / Wild Beer - Flavored,regular
Gahan Foeder-aged Strawberry Rhubarb Table Beer,Gahan House / Gahan Beer (Murphy Hospitality Group),Flavored - Fruit,regular
Bootleg Brew Way She Gose,Bootleg Brew Co.,Gose,regular
Bootleg Brew 20 Years Sippin' Beers,Bootleg Brew Co.,IPA - Hazy (NEIPA),regular
Boxing Rock Hunky Dory Pale Ale,Boxing Rock Brewing Company,Pale Ale - American (APA),regular
Boxing Rock Temptation Red Ale,Boxing Rock Brewing Company,Red Ale / International Amber Ale,regular
Hell Bay Dark Cream Ale,Hell Bay Brewing Company,Cream Ale,special seasonal
North Belgian IPA,North Brewing Co. (Canada),IPA,regular
Unfiltered Daytimer Berliner Weisse,Unfiltered Brewing,Berliner Weisse,summer seasonal
Pump House Cadian Cream Ale,Pump House Brewery,Cream Ale,regular
Stillwell Poptones,Stillwell Brewing Company,Saison / Farmhouse / Grisette,regular
Gahan Harvest Time,Gahan House / Gahan Beer (Murphy Hospitality Group),Blonde Ale / Golden Ale,regular
Tatamagouche Giantess Barley Wine,Tatamagouche Brewing Company,Barley Wine / Wheat Wine / Rye Wine,series seasonal
Quidi Vidi Honey Brown,Quidi Vidi Brewing Company,Amber Lager - International / Vienna,regular
Stillwell Easy,Stillwell Brewing Company,Saison / Farmhouse / Grisette,regular
Garrison PiLs,Garrison Brewing Company,Pilsener / Pils / Pilsner,special seasonal
2 Crows / Escarpment Laboratories All In,2 Crows Brewing,Saison / Farmhouse / Grisette,regular
